ZEIT;RAUM;MERKMAL;WERT
2020;29 Schloss;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.88
2022;21 Pluggendorf;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.88
2017;22 Josef;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.88
2016;25 Mauritz-West;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.87
2016;34 Düesberg;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.87
2018;34 Düesberg;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.87
2019;44 Herz-Jesu;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.87
2019;12 Überwasser;Anteil der männlichen Arbeitslosen(SGB II UND SGB III) an der männlichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.86
2018;27 Kreuz;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.85
2021;12 Überwasser;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.85
2014;12 Überwasser;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.85
2015;52 Sentrup;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.85
2019;25 Mauritz-West;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.85
2017;25 Mauritz-West;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;1.85
2017;13 Dom;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.85
2017;14 Buddenturm;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.85
2022;12 Überwasser;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.85
2015;27 Kreuz;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.85
2019;34 Düesberg;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.85
2020;12 Überwasser;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.85
2021;44 Herz-Jesu;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.85
2018;13 Dom;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.84
2019;12 Überwasser;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.84
2021;29 Schloss;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.84
2019;21 Pluggendorf;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.84
2019;13 Dom;Anteil der männlichen SGBII-Personen im Alter von 15 - 64 Jahren an den männlichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.84
2015;25 Mauritz-West;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;1.84
2021;27 Kreuz;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;1.83
2019;43 Hafen;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.83
2016;25 Mauritz-West;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.83
2015;22 Josef;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.83
2016;13 Dom;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.83
2021;14 Buddenturm;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.83
2014;13 Dom;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.82
2022;13 Dom;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.82
2014;29 Schloss;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.81
2016;28 Neutor;Anteil der männlichen Arbeitslosen(SGB II UND SGB III) an der männlichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.81
2020;11 Aegidii;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.81
2017;15 Martini;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.8
2022;27 Kreuz;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.8
2020;27 Kreuz;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.79
2022;27 Kreuz;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.79
2022;12 Überwasser;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.79
2021;12 Überwasser;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;1.79
2020;14 Buddenturm;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.79
2020;52 Sentrup;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.79
2021;27 Kreuz;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.78
2018;28 Neutor;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.78
2021;26 Schlachthof;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.78
2021;11 Aegidii;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.77
2015;27 Kreuz;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.77
2022;82 Gremmendorf-Ost;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.77
2019;27 Kreuz;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.76
2018;13 Dom;Anteil der männlichen Arbeitslosen(SGB II UND SGB III) an der männlichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.76
2018;12 Überwasser;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.76
2016;22 Josef;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.76
2018;12 Überwasser;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.76
2020;13 Dom;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.75
2017;15 Martini;Anteil der männlichen SGBII-Personen im Alter von 15 - 64 Jahren an den männlichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.75
2022;68 Sprakel;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.75
2015;29 Schloss;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;1.74
2015;25 Mauritz-West;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.74
2022;29 Schloss;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.73
2014;15 Martini;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.73
2022;29 Schloss;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.73
2019;14 Buddenturm;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.72
2020;12 Überwasser;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;1.72
2022;11 Aegidii;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.72
2021;27 Kreuz;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.71
2021;29 Schloss;Anteil der männlichen Arbeitslosen(SGB II UND SGB III) an der männlichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.71
2014;13 Dom;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.71
2021;11 Aegidii;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.71
2014;52 Sentrup;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.71
2022;12 Überwasser;Anteil der männlichen SGBII-Personen im Alter von 15 - 64 Jahren an den männlichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.7
2021;24 Hansaplatz;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.7
2022;22 Josef;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.7
2020;14 Buddenturm;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.69
2022;15 Martini;Anteil der männlichen SGBII-Personen im Alter von 15 - 64 Jahren an den männlichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.69
2022;13 Dom;Anteil der männlichen Arbeitslosen(SGB II UND SGB III) an der männlichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.69
2017;21 Pluggendorf;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.69
2020;12 Überwasser;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.69
2021;12 Überwasser;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.69
2014;29 Schloss;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.69
2019;23 Bahnhof;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.69
2022;29 Schloss;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.68
2019;12 Überwasser;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.68
2022;21 Pluggendorf;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;1.68
2017;15 Martini;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.68
2017;25 Mauritz-West;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.68
2021;28 Neutor;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.68
2014;12 Überwasser;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.67
2017;15 Martini;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;1.67
2018;12 Überwasser;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.67
2021;52 Sentrup;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.67
2021;11 Aegidii;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;1.67
2022;14 Buddenturm;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.67
2018;29 Schloss;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.66
2019;27 Kreuz;Anteil der männlichen Arbeitslosen(SGB II UND SGB III) an der männlichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.66
2020;27 Kreuz;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.65
2022;25 Mauritz-West;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.65
2014;27 Kreuz;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.64
2020;11 Aegidii;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;1.64
2016;15 Martini;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.64
2020;13 Dom;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.64
2016;28 Neutor;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.63
2021;13 Dom;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.63
2017;28 Neutor;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.63
2016;12 Überwasser;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.62
2017;15 Martini;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.62
2019;21 Pluggendorf;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.62
2017;11 Aegidii;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.62
2017;13 Dom;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.62
2018;15 Martini;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;1.61
2022;29 Schloss;Anteil der männlichen Arbeitslosen(SGB II UND SGB III) an der männlichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.61
2017;25 Mauritz-West;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.61
2018;25 Mauritz-West;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.61
2021;14 Buddenturm;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.61
2018;15 Martini;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.6
2022;27 Kreuz;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.6
2016;52 Sentrup;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.6
2022;21 Pluggendorf;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.6
2016;29 Schloss;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.59
2019;13 Dom;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.58
2021;13 Dom;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.58
2019;27 Kreuz;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.58
2020;29 Schloss;Anteil der männlichen Arbeitslosen(SGB II UND SGB III) an der männlichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.58
2022;27 Kreuz;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.58
2019;29 Schloss;Anteil der männlichen Arbeitslosen(SGB II UND SGB III) an der männlichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.57
2019;14 Buddenturm;Anteil der männlichen Arbeitslosen(SGB II UND SGB III) an der männlichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.57
2014;15 Martini;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.57
2014;14 Buddenturm;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.57
2020;11 Aegidii;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;1.56
2017;27 Kreuz;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.56
2015;21 Pluggendorf;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.56
2017;29 Schloss;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.55
2020;27 Kreuz;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;1.55
2018;27 Kreuz;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.55
2022;12 Überwasser;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.55
2017;12 Überwasser;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.54
2017;12 Überwasser;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.54
2016;12 Überwasser;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.53
2019;29 Schloss;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.53
2020;29 Schloss;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.53
2022;12 Überwasser;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.53
2017;15 Martini;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.53
2019;52 Sentrup;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.53
2017;52 Sentrup;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.52
2021;15 Martini;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.51
2016;27 Kreuz;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.51
2016;27 Kreuz;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.51
2019;27 Kreuz;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.51
2019;14 Buddenturm;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.5
2018;15 Martini;Anteil der männlichen SGBII-Personen im Alter von 15 - 64 Jahren an den männlichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;1.5
2022;13 Dom;Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.49
2020;11 Aegidii;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;1.49
2017;21 Pluggendorf;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.49
2019;29 Schloss;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.49
2020;29 Schloss;Anteil der weiblichen Arbeitslosen(SGB II UND SGB III) an der weiblichen Wohnberechtigten Bevölkerung im Alter von 15 - 64 Jahren - Kontextindikator 2;1.49
